smiles,molecule_type,chunk,heat_of_formation,dipole_x,dipole_y,dipole_z,dipole_moment,homo_ev,lumo_ev,gap_ev,spin_state,ionization_potential,cosmo_area,cosmo_volume,molecular_weight,point_group,filled_levels,total_energy_kcal_mol,total_energy_ev,computation_time,success,num_atoms,input_charge
C#CCN=CN(C)C,neutral,results_chunk_10_of_10,72.27129,-0.302,-1.798,0.834,2.005,-8.83,1.094,9.924,closed_shell,8.829643,169.19,159.83,110.1584,C1,22,72.27129,3.1338999482699994,0.571,True,18,0
C(=C(N(C)C)C)C,neutral,results_chunk_10_of_10,-3.80922,-0.389,-0.239,-1.092,1.183,-8.325,1.353,9.677999999999999,closed_shell,8.325454,157.96,154.76,99.1754,C1,21,-3.80922,-0.16517920685999998,0.601,True,20,0
C(CCN)C[C@@H](C(=O)O)N,neutral,results_chunk_10_of_10,-101.0876,1.643,-1.016,-0.383,1.969,-9.371,0.837,10.208,closed_shell,9.370894,193.6,191.31,146.1888,C1,30,-101.0876,-4.383461598799999,0.881,True,24,0
C(=C(N(C)C)CC)C,neutral,results_chunk_10_of_10,-7.83771,-0.792,0.432,0.449,1.007,-8.442,1.282,9.724,closed_shell,8.442366,173.23,176.16,113.2022,C1,24,-7.83771,-0.33986661873,0.974,True,23,0
C(C[C@@H](C(=O)O)N)CNC(=N)N,neutral,results_chunk_10_of_10,-91.06765,-3.285,-1.695,1.721,4.077,-9.28,0.506,9.786,closed_shell,9.279874,195.76,211.26,174.2022,C1,35,-91.06765,-3.9489665069499997,2.286,True,26,0
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,neutral,results_chunk_10_of_10,-111.33103,2.604,-0.526,-0.005,2.657,-9.255,-0.713,8.542000000000002,closed_shell,9.255257,259.63,289.04,267.2438,C1,51,-111.33103,-4.82764745389,3.886,True,32,0
C1CC=C2NCCCN2C1,neutral,results_chunk_10_of_10,12.43552,-1.719,-1.698,-0.192,2.424,-7.616,1.659,9.275,closed_shell,7.616498,177.81,181.64,138.212,C1,28,12.43552,0.53924145376,0.621,True,24,0
C1CCN(C1)C2=CCCC2,neutral,results_chunk_10_of_10,2.85672,-1.332,-1.557,0.101,2.052,-7.872,1.543,9.415,closed_shell,7.872347,187.68,190.47,137.2242,C1,28,2.85672,0.12387594936,0.943,True,25,0
C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N,neutral,results_chunk_10_of_10,-158.19789,-3.477,5.864,-1.559,6.993,-9.075,-0.634,8.440999999999999,closed_shell,9.075033,262.74,300.1,283.2432,C1,54,-158.19789,-6.85993510407,4.955,True,33,0
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,neutral,results_chunk_10_of_10,-151.68519,-0.465,-4.274,3.573,5.591,-9.385,-0.202,9.183,closed_shell,9.384757,229.3,251.78,227.2194,C1,44,-151.68519,-6.57752489397,1.983,True,29,0
C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O,neutral,results_chunk_10_of_10,-71.84792,-0.364,-0.248,-1.265,1.339,-9.094,-0.544,8.549999999999999,closed_shell,9.093611,250.31,277.67,251.2444,C1,48,-71.84792,-3.11554135496,2.956,True,31,0
C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)CO)O,neutral,results_chunk_10_of_10,-117.52935,-0.32,4.809,3.598,6.015,-8.945,-0.465,8.48,closed_shell,8.945123,261.57,289.43,267.2438,C1,51,-117.52935,-5.09642520405,2.89,True,32,0
CC(C)(C)N=C(N(C)C)N(C)C,neutral,results_chunk_10_of_10,-6.87594,-0.912,0.467,0.256,1.056,-9.018,1.14,10.158000000000001,closed_shell,9.018008,222.87,258.45,171.285,Cs,36,-6.87594,-0.29816138622,1.132,True,33,0
ClC1=CC=C(N=C(N(C)C)N(C)C)C=C1,neutral,results_chunk_10_of_10,29.01637,-4.068,-0.207,1.173,4.239,-8.615,-0.069,8.546,closed_shell,8.615266,254.82,283.42,225.7205,C1,41,29.01637,1.2582368523099998,2.487,True,31,0
C=1C=C2C=CC=C(C2=C(C1)N(C)C)N(C)C,neutral,results_chunk_10_of_10,48.9894,0.673,-2.19,0.07,2.293,-7.725,-0.122,7.603,closed_shell,7.725376,245.99,285.3,214.3096,C2,42,48.9894,2.1243273522,3.653,True,34,0
C=1C=CC2=CC3=CC=CC=C4C=C(C1)N2CCCCCN43,neutral,results_chunk_10_of_10,137.5365,-0.812,-1.489,-0.148,1.702,-7.615,-0.882,6.7330000000000005,closed_shell,7.615361,277.53,342.35,276.3804,C1,53,137.5365,5.963995249499999,3.632,True,41,0
FC1=CC=C(N=C(N(C)C)N(C)C)C=C1,neutral,results_chunk_10_of_10,-8.0881,-3.487,-0.861,-0.647,3.649,-8.591,0.009,8.6,closed_shell,8.590871,243.36,268.17,209.2659,C1,41,-8.0881,-0.3507242803,2.06,True,31,0
N(=C(N(C)C)C)C,neutral,results_chunk_10_of_10,3.61858,0.487,-1.074,1.868,2.209,-8.849,1.268,10.117,closed_shell,8.848882,154.9,149.17,100.1632,C1,21,3.61858,0.15691248454,0.47,True,19,0
N(=C(C=1C=CC=CC1)N(C)C)C,neutral,results_chunk_10_of_10,35.85759,1.289,-0.318,1.82,2.253,-8.729,-0.063,8.665999999999999,closed_shell,8.728903,208.39,221.0,162.234,C1,32,35.85759,1.55489267517,1.485,True,26,0
N(=C(N(C)C)C)C(C)C,neutral,results_chunk_10_of_10,-8.23828,-0.461,-0.138,-1.842,1.903,-8.825,1.281,10.106,closed_shell,8.824895,189.64,194.57,128.2168,C1,27,-8.23828,-0.35723653563999996,0.874,True,25,0
N(=C(C1=CC=C(C=C1)C)N(C)C)C,neutral,results_chunk_10_of_10,30.03454,-1.816,1.082,1.688,2.705,-8.716,0.198,8.914,closed_shell,8.716215,227.8,241.5,176.2608,C1,35,30.03454,1.30238775802,2.454,True,29,0
N(=C(N(C)C)C)C(C)(C)C,neutral,results_chunk_10_of_10,-14.54149,0.157,0.824,-1.714,1.908,-8.819,1.315,10.134,closed_shell,8.818569,201.54,217.12,142.2436,C1,30,-14.54149,-0.63056263087,1.158,True,28,0
N(=C(N(C)C)C)C1CC1,neutral,results_chunk_10_of_10,26.26886,-0.937,-2.309,-0.245,2.504,-8.881,1.154,10.035,closed_shell,8.880721,182.94,183.11,126.201,C1,26,26.26886,1.13909657618,0.669,True,23,0
N(=C(N(C)C)C)CC,neutral,results_chunk_10_of_10,-1.5324,0.453,-0.489,1.896,2.01,-8.834,1.279,10.113,closed_shell,8.83383,174.4,170.61,114.19,C1,24,-1.5324,-0.0664494612,1.04,True,22,0
N(=C(N(C)C)C)CCC,neutral,results_chunk_10_of_10,-7.06825,-0.357,-1.636,-1.222,2.073,-8.827,1.278,10.105,closed_shell,8.82739,194.43,193.4,128.2168,C1,27,-7.06825,-0.30650052475,1.063,True,25,0
N(=C(N(C)C)C)C12CC3CC(CC(C3)C1)C2,neutral,results_chunk_10_of_10,-16.10799,0.377,0.317,-1.834,1.899,-8.745,1.332,10.077,closed_shell,8.745129,255.11,299.0,220.357,C1,45,-16.10799,-0.6984907703700001,2.986,True,40,0
N(=C(N(C)C)C)CCCCC,neutral,results_chunk_10_of_10,-16.96545,2.595,1.196,0.266,2.87,-9.045,1.245,10.29,closed_shell,9.045449,233.88,237.34,156.2704,C1,33,-16.96545,-0.73567280835,1.916,True,31,0
N(=C(N(C)C)C)CCOC,neutral,results_chunk_10_of_10,-36.41102,-3.013,1.192,-2.018,3.817,-9.106,1.126,10.232,closed_shell,9.106384,204.79,204.81,144.2162,C1,30,-36.41102,-1.57889106026,0.975,True,26,0
N(=C(N(C)C)C)CCN(C)C,neutral,results_chunk_10_of_10,3.50227,2.519,0.609,-1.562,3.027,-8.649,1.467,10.116,closed_shell,8.64863,215.14,235.44,157.2582,C1,33,3.50227,0.15186893401,2.282,True,30,0
N(=C(N(C)C)CC)C(C)(C)C,neutral,results_chunk_10_of_10,-18.51333,-2.191,-1.142,0.666,2.559,-8.945,1.249,10.194,closed_shell,8.945421,214.36,240.26,156.2704,C1,33,-18.51333,-0.80279352879,1.116,True,31,0
N(=C(N(C)C)C)CCCCCC,neutral,results_chunk_10_of_10,-22.94708,0.812,1.48,-1.682,2.383,-8.813,1.263,10.076,closed_shell,8.812768,251.72,257.98,170.2972,C1,36,-22.94708,-0.9950542300399999,3.659,True,34,0
N(=C(N(C)C)CC)C(C)C,neutral,results_chunk_10_of_10,-12.50368,0.028,0.869,1.391,1.64,-8.86,1.23,10.09,closed_shell,8.859736,204.3,217.13,142.2436,C1,30,-12.50368,-0.54219707584,1.325,True,28,0
N(=C(N(C)C)C)CCCN(C)C,neutral,results_chunk_10_of_10,-1.46333,2.162,0.035,-2.891,3.61,-8.618,1.486,10.104000000000001,closed_shell,8.6182,233.94,254.43,171.285,C1,36,-1.46333,-0.06345437879,4.078,True,33,0
N(=C(N(C)C)CC)CCCCC,neutral,results_chunk_10_of_10,-19.46586,-2.274,-0.81,1.889,3.066,-8.832,1.302,10.134,closed_shell,8.831981,246.62,259.12,170.2972,C1,36,-19.46586,-0.8440980871799999,1.105,True,34,0
N(=C(N(C)C)N(C)C)C,neutral,results_chunk_10_of_10,13.657,1.227,0.369,1.586,2.039,-8.603,1.342,9.945,closed_shell,8.60262,181.48,187.72,129.2046,C1,27,13.657,0.592208491,0.732,True,24,0
N(=C(N(C)C)N(C)C)C(C)C,neutral,results_chunk_10_of_10,-0.11767,-1.672,-0.743,-1.38,2.292,-8.894,1.228,10.122,closed_shell,8.894249,212.6,233.31,157.2582,C1,33,-0.11767,-0.00510252421,1.33,True,30,0
N(=C(N(C)C)N(C)C)CC,neutral,results_chunk_10_of_10,8.25442,-0.436,1.568,0.827,1.825,-8.589,1.357,9.946,closed_shell,8.588722,200.26,210.56,143.2314,C1,30,8.25442,0.35793641445999996,1.045,True,27,0
N(=CN(C)C)C,neutral,results_chunk_10_of_10,12.45473,-0.366,-2.177,-0.337,2.233,-8.77,1.202,9.972,closed_shell,8.769683,140.18,127.4,86.1364,C1,18,12.45473,0.54007445699,0.284,True,16,0
N(=CN(C)C)C(C)(C)C,neutral,results_chunk_10_of_10,-6.40784,0.472,1.126,1.766,2.147,-8.756,1.214,9.97,closed_shell,8.756249,191.79,195.5,128.2168,C1,27,-6.40784,-0.27786316592,0.794,True,25,0
N(=C(N(CC)CC)C)CCC,neutral,results_chunk_10_of_10,-18.9525,-0.995,-2.031,-0.192,2.27,-8.479,1.484,9.963,closed_shell,8.47881,219.44,235.42,156.2704,C1,33,-18.9525,-0.8218372575,2.273,True,31,0
N(=CN(C)C)C(C)C,neutral,results_chunk_10_of_10,1.09943,-0.716,-1.834,0.436,2.017,-8.764,1.194,9.957999999999998,closed_shell,8.763569,178.76,173.54,114.19,C1,24,1.09943,0.04767458308999999,0.728,True,22,0
N(=CN(C)C)C(C)(C)CC,neutral,results_chunk_10_of_10,-10.67864,0.932,-0.399,-1.709,1.987,-8.72,1.259,9.979000000000001,closed_shell,8.720468,203.76,215.29,142.2436,C1,30,-10.67864,-0.46305786631999996,1.7,True,28,0
N(=CN(C)C)C1CC1,neutral,results_chunk_10_of_10,34.97388,-1.366,0.053,1.939,2.372,-8.772,0.914,9.686,closed_shell,8.77201,169.26,161.33,112.1742,C1,23,34.97388,1.51657235844,0.732,True,20,0
