neutral_smiles,smiles,protonation_site_index,protonation_site_element,molecule_type,chunk,heat_of_formation,dipole_x,dipole_y,dipole_z,dipole_moment,alpha_somo_ev,alpha_lumo_ev,beta_somo_ev,beta_lumo_ev,homo_ev,lumo_ev,gap_ev,spin_state,ionization_potential,cosmo_area,cosmo_volume,molecular_weight,point_group,charge,alpha_electrons,beta_electrons,unpaired_electrons,multiplicity,total_energy_kcal_mol,total_energy_ev,computation_time,success,num_atoms,input_charge,site_index,site_element,parent_neutral
C#CCN=CN(C)C,[H]C#CC([H])([H])[N+]([H])=C([H])N(C([H])([H])[H])C([H])([H])[H],3,N,protonated,results_chunk_10_of_10,207.44301,-3.306,0.23,0.452,3.345,-13.912,-4.512,-13.912,-4.512,-13.912,-4.512,9.400000000000002,open_shell,13.911941,174.51,163.7,111.1663,Cs,1,22,22,0,1,207.44301,8.995351242629999,0.306,True,19,1,3,N,C#CCN=CN(C)C
C(=C(N(C)C)C)C,[H]C(=C(C([H])([H])[H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],2,N,protonated,results_chunk_10_of_10,141.03545,-2.597,-0.497,0.794,2.76,-14.366,-3.894,-14.366,-3.894,-14.366,-3.894,10.472,open_shell,14.365762,157.24,157.02,100.1833,Cs,1,21,21,0,1,141.03545,6.11572021835,0.507,True,21,1,2,N,C(=C(N(C)C)C)C
C#CCN=CN(C)C,[H]C#CC([H])([H])N=C([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H],5,N,protonated,results_chunk_10_of_10,222.98808,-5.146,2.683,0.728,5.849,-14.313,-4.314,-14.313,-4.314,-14.313,-4.314,9.999,open_shell,14.312544,173.41,164.76,111.1663,Cs,1,22,22,0,1,222.98808,9.66943211304,0.822,True,19,1,5,N,C#CCN=CN(C)C
C(=C(N(C)C)CC)C,[H]C(=C(C([H])([H])C([H])([H])[H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],2,N,protonated,results_chunk_10_of_10,134.54535,-3.111,2.033,-0.681,3.778,-14.287,-3.868,-14.287,-3.868,-14.287,-3.868,10.419,open_shell,14.287422,174.15,179.09,114.2101,C1,1,24,24,0,1,134.54535,5.83429001205,1.214,True,24,1,2,N,C(=C(N(C)C)CC)C
C(CCN)C[C@@H](C(=O)O)N,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H],3,N,protonated,results_chunk_10_of_10,28.53158,5.71,2.214,2.014,6.447,-13.132,-3.116,-13.132,-3.116,-13.132,-3.116,10.016,open_shell,13.132221,182.66,189.68,147.1967,C1,1,30,30,0,1,28.53158,1.23721490354,1.383,True,25,1,3,N,C(CCN)C[C@@H](C(=O)O)N
C(CCN)C[C@@H](C(=O)O)N,[H]OC(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])[N+]([H])([H])[H],9,N,protonated,results_chunk_10_of_10,51.92614,-8.827,-2.809,-6.992,11.606,-12.069,-4.352,-12.069,-4.352,-12.069,-4.352,7.7170000000000005,open_shell,12.06901,190.98,193.54,147.1967,C1,1,30,30,0,1,51.92614,2.2516732088199998,1.403,True,25,1,9,N,C(CCN)C[C@@H](C(=O)O)N
C(CCN)C[C@@H](C(=O)O)N,[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)[O+]([H])[H])N([H])[H],8,O,protonated,results_chunk_10_of_10,32.65921,6.089,0.502,1.853,6.384,-14.551,-3.365,-14.551,-3.365,-14.551,-3.365,11.186,open_shell,14.551068,181.23,190.38,147.1967,C1,1,30,30,0,1,32.65921,1.41620132323,1.426,True,25,1,8,O,C(CCN)C[C@@H](C(=O)O)N
C(CCN)C[C@@H](C(=O)O)N,[H]OC(=[O+][H])[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],7,O,protonated,results_chunk_10_of_10,73.72373,10.075,4.317,-3.5,11.506,-11.799,-5.377,-11.799,-5.377,-11.799,-5.377,6.422,open_shell,11.798733,199.19,196.55,147.1967,C1,1,30,30,0,1,73.72373,3.19688210399,1.528,True,25,1,7,O,C(CCN)C[C@@H](C(=O)O)N
C(C[C@@H](C(=O)O)N)CNC(=N)N,[H]N=C(N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H])[N+]([H])([H])[H],11,N,protonated,results_chunk_10_of_10,79.5925,17.5,1.692,2.87,17.814,-12.366,-4.497,-12.366,-4.497,-12.366,-4.497,7.869,open_shell,12.365899,216.6,222.1,175.2101,C1,1,35,35,0,1,79.5925,3.4513695775,2.096,True,27,1,11,N,C(C[C@@H](C(=O)O)N)CNC(=N)N
C(C[C@@H](C(=O)O)N)CNC(=N)N,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H],10,N,protonated,results_chunk_10_of_10,52.16209,-12.347,-2.583,5.114,13.611,-12.495,-4.588,-12.495,-4.588,-12.495,-4.588,7.906999999999999,open_shell,12.495463,216.03,220.39,175.2101,C1,1,35,35,0,1,52.16209,2.26190470867,2.103,True,27,1,10,N,C(C[C@@H](C(=O)O)N)CNC(=N)N
C(C[C@@H](C(=O)O)N)CNC(=N)N,[H]N=C(N([H])[H])[N+]([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],8,N,protonated,results_chunk_10_of_10,63.75691,2.965,-3.561,-0.351,4.647,-13.117,-3.839,-13.117,-3.839,-13.117,-3.839,9.278,open_shell,13.116681,205.13,216.13,175.2101,C1,1,35,35,0,1,63.75691,2.7646908883299997,2.229,True,27,1,8,N,C(C[C@@H](C(=O)O)N)CNC(=N)N
C(C[C@@H](C(=O)O)N)CNC(=N)N,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(O[H])=[O+][H])N([H])[H],4,O,protonated,results_chunk_10_of_10,64.05402,-2.299,1.077,2.337,3.45,-14.187,-3.989,-14.187,-3.989,-14.187,-3.989,10.198,open_shell,14.186554,194.1,209.48,175.2101,C1,1,35,35,0,1,64.05402,2.7775744692599997,4.104,True,27,1,4,O,C(C[C@@H](C(=O)O)N)CNC(=N)N
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])[n+]([H])c32)[C@]([H])(O[H])[C@]1([H])O[H],5,N,protonated,results_chunk_10_of_10,24.33565,0.106,-1.35,2.511,2.853,-13.021,-4.67,-13.021,-4.67,-13.021,-4.67,8.351,open_shell,13.02129,257.58,289.54,268.2517,C1,1,51,51,0,1,24.33565,1.05526679095,3.887,True,33,1,5,N,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
